SALM_3828	STMMW_28751	98.214	56	1	0	149	204	933	878	8.08e-22	99.0
SALM_12272	SC0831	100.000	129	0	0	1	129	1	129	2.73e-64	239
SALM_13534	SEN0401	100.000	981	0	0	1	981	1	981	0.0	1812
SALM_13975	SNSL254_A1382	100.000	117	0	0	1	117	1	117	1.14e-57	217
SALM_14345	STMMW_19711	72.283	368	102	0	514	881	499	866	6.11e-26	115
SALM_14416	STMMW_06201	97.778	45	1	0	1	45	45	1	1.24e-15	78.7
SALM_14531	STM0834	100.000	1581	0	0	1	1581	1	1581	0.0	2920
SALM_14541	STM0942	100.000	1947	0	0	1	1947	1	1947	0.0	3596
SALM_14543	STM1092	100.000	171	0	0	1	171	1	171	1.68e-87	316
SALM_14564	STM2666	100.000	48	0	0	1	48	1	48	7.95e-20	89.8
SALM_14590	STM3012	100.000	1023	0	0	1	1023	1	1023	0.0	1890
SALM_14592	STM3624	99.226	1680	13	0	1	1680	1	1680	0.0	3031
SALM_14593	STM3624A	100.000	141	0	0	1	141	1	141	6.41e-71	261
SALM_14598	STM4351	100.000	741	0	0	1	741	1	741	0.0	1369
SALM_14673	STMMW_00001	88.506	87	9	1	1	86	1	87	6.33e-24	104
SALM_14674	STMMW_00011	100.000	2463	0	0	1	2463	1	2463	0.0	4549
SALM_14676	STMMW_00031	99.223	1287	10	0	1	1287	1	1287	0.0	2322
SALM_14677	STMMW_00041	100.000	774	0	0	1	774	1	774	0.0	1430
SALM_14678	STMMW_00051	100.000	1431	0	0	1	1431	1	1431	0.0	2643
SALM_14681	STMMW_00081	99.471	567	3	0	1	567	1	567	0.0	1031
SALM_14682	STMMW_00091	99.580	714	3	0	1	714	1	714	0.0	1303
SALM_14683	STMMW_00101	100.000	405	0	0	1	405	1	405	0.0	749
SALM_14684	STMMW_00111	100.000	1917	0	0	1	1917	1	1917	0.0	3541
SALM_14685	STMMW_00121	99.561	1140	5	0	1	1140	1	1140	0.0	2078
SALM_14687	STMMW_00141	100.000	345	0	0	1	345	1	345	0.0	638
SALM_14688	STMMW_00151	100.000	534	0	0	1	534	1	534	0.0	987
SALM_14690	STMMW_00171	100.000	2100	0	0	1	2100	1	2100	0.0	3879
SALM_14692	STMMW_00191	100.000	705	0	0	1	705	1	705	0.0	1303
SALM_14708	STMMW_00361	100.000	1494	0	0	1	1494	1	1494	0.0	2760
SALM_14711	STMMW_00401	100.000	1167	0	0	1	1167	1	1167	0.0	2156
SALM_14715	STMMW_00441	100.000	264	0	0	1	264	1	264	5.44e-139	488
SALM_14716	STMMW_00451	100.000	216	0	0	1	216	1	216	2.11e-112	399
SALM_14719	STMMW_00481	100.000	501	0	0	1	501	1	501	0.0	926
SALM_14720	STMMW_00491	100.000	450	0	0	1	450	1	450	0.0	832
SALM_14721	STMMW_00501	100.000	951	0	0	1	951	1	951	0.0	1757
SALM_14733	STMMW_00651	100.000	822	0	0	1	822	1	822	0.0	1519
SALM_14734	STMMW_00681	100.000	1149	0	0	1	1149	1	1149	0.0	2122
SALM_14738	STMMW_00721	100.000	786	0	0	1	786	1	786	0.0	1452
SALM_14746	STMMW_00801	99.306	288	2	0	1	288	1	288	5.87e-149	521
SALM_14748	STMMW_00821	100.000	264	0	0	1	264	1	264	5.44e-139	488
SALM_14752	STMMW_00901	100.000	531	0	0	1	531	1	531	0.0	981
SALM_14754	STMMW_00921	99.583	480	2	0	1	480	1	480	0.0	876
SALM_14755	STMMW_00931	100.000	849	0	0	1	849	1	849	0.0	1568
SALM_14756	STMMW_00941	100.000	378	0	0	1	378	1	378	0.0	699
SALM_14757	STMMW_00951	100.000	822	0	0	1	822	1	822	0.0	1519
SALM_14758	STMMW_00961	99.596	990	4	0	1	990	1	990	0.0	1807
SALM_14759	STMMW_00971	100.000	1287	0	0	1	1287	1	1287	0.0	2377
SALM_14760	STMMW_00981	100.000	2361	0	0	1	2361	1	2361	0.0	4361
SALM_14761	STMMW_00991	100.000	813	0	0	1	813	1	813	0.0	1502
SALM_14762	STMMW_01001	100.000	660	0	0	1	660	1	660	0.0	1219
SALM_14764	STMMW_01021	100.000	2352	0	0	1	2352	1	2352	0.0	4344
SALM_14769	STMMW_01081	99.268	1503	11	0	1	1503	1	1503	0.0	2715
SALM_14770	STMMW_01091	100.000	1710	0	0	1	1710	1	1710	0.0	3158
SALM_14772	STMMW_01111	100.000	768	0	0	1	768	1	768	0.0	1419
SALM_14774	STMMW_01131	100.000	1611	0	0	1	1611	1	1611	0.0	2976
SALM_14775	STMMW_01141	99.593	984	4	0	1	984	1	984	0.0	1796
SALM_14776	STMMW_01151	99.518	1659	8	0	1	1659	1	1659	0.0	3020
SALM_14777	STMMW_01152	99.187	123	1	0	1	123	1	123	2.60e-59	222
SALM_14778	STMMW_01161	100.000	606	0	0	1	606	1	606	0.0	1120
SALM_14779	STMMW_01171	99.143	1401	12	0	1	1401	1	1401	0.0	2521
SALM_14783	STMMW_01211	100.000	945	0	0	1	945	1	945	0.0	1746
SALM_14784	STMMW_01221	100.000	1662	0	0	1	1662	1	1662	0.0	3070
SALM_14785	STMMW_01231	100.000	492	0	0	1	492	1	492	0.0	909
SALM_14786	STMMW_01241	99.801	1005	2	0	1	1005	1	1005	0.0	1845
SALM_14787	STMMW_01251	100.000	459	0	0	1	459	1	459	0.0	848
SALM_14788	STMMW_01261	100.000	942	0	0	1	942	1	942	0.0	1740
SALM_14789	STMMW_01271	99.454	366	2	0	1	366	1	366	0.0	665
SALM_14791	STMMW_01291	100.000	1488	0	0	1	1488	1	1488	0.0	2748
SALM_14792	STMMW_01301	100.000	1359	0	0	1	1359	1	1359	0.0	2510
SALM_14793	STMMW_01311	99.354	1083	7	0	1	1083	1	1083	0.0	1962
